group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
S. Mays - S. Cooper - J. Johnson,ATL,5,5,0,1.0,2.2,1.4,4.0,0.35,0.8,2.2,0.364,0.0,0.0,0.0,0.0,1.8,1.8,1.4,0.8,0.2,0.0,0.6,0.6,0.2,3.6,-1.4,194,118,1,1,505,509,474,497,445,407,317,497,502,497,451,484,528,427,234,443,361,445,145,538,532,438
T. Luwawu-Cabarrot - S. Cooper - J. Johnson,ATL,5,5,0,1.0,2.2,1.4,4.0,0.35,0.8,2.2,0.364,0.0,0.0,0.0,0.0,1.8,1.8,1.4,0.8,0.2,0.0,0.6,0.6,0.2,3.6,-1.4,194,118,1,1,505,509,474,497,445,407,317,497,502,497,451,484,528,427,234,443,361,445,145,538,532,438
G. Dieng - C. Reddish - C. Brown Jr.,ATL,1,0,1,0.0,2.1,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,408,490,144,490,512,422,521,38,289,417,99,244,304,1,451,409,471,457,1,450,361,1,1,265,388,134
G. Dieng - T. Luwawu-Cabarrot - K. Huerter,ATL,5,1,4,0.2,2.1,1.4,2.8,0.5,0.8,1.4,0.571,2.0,2.2,0.909,0.0,1.8,1.8,1.0,0.8,0.6,0.2,0.2,0.4,1.4,5.6,1.2,194,257,488,481,514,509,555,169,445,495,87,244,294,172,451,484,528,457,234,316,339,284,116,368,465,191
L. Williams - B. Bogdanovic - C. Reddish,ATL,2,0,2,0.0,2.1,1.0,2.5,0.4,0.0,0.5,0.0,0.5,0.5,1.0,0.0,2.5,2.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,2.5,-2.5,311,490,358,490,513,522,559,413,530,601,530,479,487,1,451,380,446,563,257,450,361,385,118,505,554,522
L. Williams - G. Dieng - T. Young,ATL,6,5,1,0.833,2.1,1.8,4.3,0.423,1.2,2.3,0.5,1.2,1.2,1.0,1.0,1.7,2.7,1.2,0.7,0.3,0.2,0.0,0.8,0.8,6.0,0.8,171,118,144,145,515,481,469,368,275,396,99,393,423,1,239,490,439,453,204,403,349,1,168,483,436,230
L. Williams - J. Collins - T. Young,ATL,14,8,6,0.571,2.1,1.9,4.1,0.456,0.5,1.8,0.28,1.4,1.5,0.905,0.4,2.0,2.4,1.3,0.4,0.3,0.3,0.1,0.9,1.0,5.6,0.9,93,71,532,204,511,480,473,299,478,471,463,373,390,180,408,409,460,443,158,433,315,262,176,399,467,229
C. Capela - D. Wright - S. Mays,ATL,2,0,2,0.0,2.0,1.5,4.0,0.375,0.0,0.5,0.0,1.0,1.5,0.667,0.0,3.5,3.5,1.5,0.5,0.0,0.5,0.5,1.0,1.0,4.0,2.0,311,490,358,490,521,496,474,466,530,601,530,402,390,422,451,257,334,403,163,450,212,385,178,399,519,134
D. Gallinari - S. Hill - B. Bogdanovic,ATL,2,1,1,0.5,2.0,2.0,4.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,0.5,0.0,0.5,0.5,0.0,4.5,0.5,311,257,144,240,518,422,474,169,478,503,99,497,502,497,451,409,471,304,163,330,361,385,118,541,509,249
D. Wright - T. Luwawu-Cabarrot - T. Young,ATL,6,1,5,0.167,2.0,1.5,3.2,0.474,0.5,1.5,0.333,0.3,0.3,1.0,0.3,0.8,1.2,0.8,0.5,0.3,0.2,0.0,0.8,0.2,3.8,-2.3,171,257,507,485,520,496,519,261,478,482,368,488,496,1,419,597,548,530,163,403,349,1,168,540,529,515
L. Stephenson - W. Iwundu - S. Mays,ATL,2,2,0,1.0,2.0,2.0,3.5,0.571,0.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.5,1.0,4.5,-0.5,311,197,1,1,516,422,505,96,530,601,530,479,487,1,451,518,549,457,1,330,361,1,312,399,509,361
L. Williams - G. Dieng - B. Bogdanovic,ATL,1,0,1,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,408,490,144,490,519,522,521,502,530,503,530,402,428,1,451,296,370,563,1,450,361,500,1,541,537,199
S. Hill - B. Bogdanovic - K. Huerter,ATL,3,2,1,0.667,2.0,2.0,3.3,0.6,0.7,1.7,0.4,1.7,1.7,1.0,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.0,1.0,0.7,6.3,0.0,249,197,144,160,516,422,514,68,462,475,228,328,378,1,419,513,531,532,1,450,283,1,178,489,427,285
C. Barber - J. Johnson - M. Hill,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
C. Barber - S. Mays - J. Johnson,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
C. Barber - S. Mays - M. Hill,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
