group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
D. Wright - T. Luwawu-Cabarrot - O. Okongwu - S. Mays - J. Johnson,ATL,1,0,1,0.0,1.5,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,123,204,119,204,220,195,231,106,190,172,190,56,69,1,148,41,65,130,300,137,109,1,1,115,181,32
G. Dieng - B. Bogdanovic - K. Huerter - T. Young - D. Hunter,ATL,1,0,1,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-3.0,123,204,119,204,221,277,231,277,190,266,190,56,69,1,148,178,202,235,1,137,109,1,1,115,238,276
G. Dieng - B. Bogdanovic - T. Young - S. Mays - M. Hill,ATL,1,0,1,0.0,1.5,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,123,204,119,204,221,118,231,1,190,266,190,56,47,152,148,178,202,130,1,137,21,1,1,115,130,45
G. Dieng - T. Luwawu-Cabarrot - S. Mays - S. Cooper - J. Johnson,ATL,1,1,0,1.0,1.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,123,61,1,1,234,277,231,277,190,172,190,194,198,194,148,272,288,235,204,137,109,1,1,231,295,318
L. Stephenson - C. Capela - D. Wright - J. Collins - C. Reddish,ATL,1,0,1,0.0,1.5,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,123,204,119,204,226,118,231,1,29,103,1,194,198,194,148,178,202,235,204,137,21,1,157,231,130,32
L. Stephenson - G. Dieng - B. Bogdanovic - J. Collins - S. Mays,ATL,1,0,1,0.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,123,204,119,204,231,195,279,1,61,172,1,194,198,194,148,178,202,130,204,137,109,1,1,115,211,99
L. Williams - D. Gallinari - C. Capela - D. Wright - K. Huerter,ATL,2,2,0,1.0,1.5,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.5,1.5,3.0,-1.0,76,35,1,1,227,176,175,106,190,266,190,194,198,194,112,178,193,130,1,137,109,1,130,90,211,192
L. Williams - D. Gallinari - G. Dieng - T. Young - C. Reddish,ATL,4,4,0,1.0,1.5,1.0,3.0,0.333,0.8,1.5,0.5,1.3,1.3,1.0,0.8,1.0,1.8,0.5,0.5,0.3,0.3,0.0,1.0,0.8,4.0,-0.8,39,17,1,1,233,195,175,212,152,160,54,125,139,1,102,178,187,212,164,125,91,1,157,199,181,190
L. Williams - D. Gallinari - J. Collins - K. Huerter - T. Young,ATL,3,1,2,0.333,1.5,2.0,3.3,0.6,1.0,2.0,0.5,0.3,0.3,1.0,0.7,0.0,0.7,1.0,0.3,0.3,0.0,0.0,0.3,0.3,5.3,-1.0,54,61,275,181,230,118,172,64,61,103,54,186,194,1,106,272,273,130,154,117,109,1,123,226,150,192
L. Williams - D. Gallinari - K. Huerter - T. Young - O. Okongwu,ATL,2,2,0,1.0,1.5,2.0,3.0,0.667,0.5,1.0,0.5,2.5,2.5,1.0,0.5,0.5,1.0,1.5,1.0,0.5,0.0,0.0,1.5,1.5,7.0,2.5,76,35,1,1,221,118,175,42,164,172,54,50,64,1,112,261,202,114,204,96,109,1,248,90,108,68
